Metric,Value
Workflow Name,Clean0ps Local API Automation
Run Timestamp,2026-06-05 14:28:05
Raw Records,100
Cleaned Records,100
Exact Duplicates Removed,0
Key Duplicates Removed,0
Validation Issues,0
Source Errors,0
